season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
spring,0,jan,0,sat,0,mist_cloudy,14.110847,80.5833,10.749882,985
spring,0,jan,0,sun,0,mist_cloudy,14.902598,69.6087,16.652113,801
spring,0,jan,0,mon,1,clear,8.050924,43.7273,16.636703,1349
spring,0,jan,0,tue,1,clear,8.2,59.0435,10.739832,1562
spring,0,jan,0,wed,1,clear,9.305237,43.6957,12.5223,1600
spring,0,jan,0,thu,1,clear,8.378268,51.8261,6.0008684,1606
spring,0,jan,0,fri,1,mist_cloudy,8.057402,49.8696,11.304642,1510
spring,0,jan,0,sat,0,mist_cloudy,6.765,53.5833,17.875868,959
spring,0,jan,0,sun,0,clear,5.671653,43.4167,24.25065,822
spring,0,jan,0,mon,1,clear,6.184153,48.2917,14.958889,1321
spring,0,jan,0,tue,1,mist_cloudy,6.932731,68.6364,8.182844,1263
spring,0,jan,0,wed,1,clear,7.081807,59.9545,20.410009,1162
spring,0,jan,0,thu,1,clear,6.765,47.0417,20.167,1406
spring,0,jan,0,fri,1,clear,6.59567,53.7826,8.478716,1421
spring,0,jan,0,sat,0,mist_cloudy,9.566653,49.875,10.583521,1248
spring,0,jan,0,sun,0,clear,9.498347,48.375,12.625011,1204
spring,0,jan,1,mon,0,mist_cloudy,7.209153,53.75,12.999139,1000
spring,0,jan,0,tue,1,mist_cloudy,8.883347,86.1667,9.833925,683
spring,0,jan,0,wed,1,mist_cloudy,11.979134,74.1739,13.957239,1650
spring,0,jan,0,thu,1,mist_cloudy,10.728347,53.8333,13.125568,1927
spring,0,jan,0,fri,1,clear,7.2775,45.7083,23.667214,1543
spring,0,jan,0,sat,0,clear,2.4243464,40.0,11.52199,981
spring,0,jan,0,sun,0,clear,3.9573897,43.6522,16.5222,986
spring,0,jan,0,mon,1,clear,3.9930433,49.1739,10.60811,1416
spring,0,jan,0,tue,1,mist_cloudy,9.162598,61.6957,8.696332,1985
spring,0,jan,0,wed,1,light_rain_snow,8.9175,86.25,19.68795,506
spring,0,jan,0,thu,1,clear,7.995,68.75,7.627079,431
spring,0,jan,0,fri,1,mist_cloudy,8.342598,79.3043,8.2611,1167
spring,0,jan,0,sat,0,clear,8.057402,65.1739,9.739455,1098
spring,0,jan,0,sun,0,clear,8.877402,72.2174,4.9568342,1096
spring,0,jan,0,mon,1,mist_cloudy,7.414153,60.375,12.541864,1501
