,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
count,730.0,730,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0
unique,,730,,,,,,,,,,,,,,
top,,01-01-2018,,,,,,,,,,,,,,
freq,,1,,,,,,,,,,,,,,
mean,365.5,,2.4986301369863013,0.5,6.526027397260274,0.028767123287671233,2.9972602739726026,0.6835616438356165,1.3945205479452054,20.319259216986303,23.72632162328767,62.76517493150686,12.763619654657534,849.2493150684932,3658.7575342465752,4508.006849315068
std,210.87713642466474,,1.110183952760559,0.5003428180039369,3.45021529306815,0.16726596126617496,2.006161469480848,0.4654050254978033,0.5448072389026616,7.506728936951138,8.150307762216793,14.237589043405638,5.195840704080459,686.4798745344394,1559.7587279935992,1936.0116473612586
min,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.4243464,3.95348,0.0,1.5002439,2.0,20.0,22.0
25%,183.25,,2.0,0.0,4.0,0.0,1.0,0.0,1.0,13.81188525,16.8897125,52.0,9.04165,316.25,2502.25,3169.75
50%,365.5,,3.0,0.5,7.0,0.0,3.0,1.0,1.0,20.4658265,24.368225,62.625,12.125325,717.0,3664.5,4548.5
75%,547.75,,3.0,1.0,10.0,0.0,5.0,1.0,2.0,26.88061475,30.445774999999998,72.989575,15.62558925,1096.5,4783.25,5966.0
max,730.0,,4.0,1.0,12.0,1.0,6.0,1.0,3.0,35.328347,42.0448,97.25,34.000021,3410.0,6946.0,8714.0
