,actual,predicted,residual
468,7460,6632.054982817869,827.9450171821309
148,4788,4069.5520833333335,718.4479166666665
302,3331,2778.809523809524,552.1904761904761
355,3068,3601.975,-533.9749999999999
515,7338,6535.234177215189,802.7658227848106
266,5423,3741.16,1681.8400000000001
72,2046,2283.5714285714284,-237.57142857142844
81,2121,1861.4516129032259,259.54838709677415
133,3409,3394.064935064935,14.93506493506493
342,3620,3252.840909090909,367.159090909091
344,2743,3342.6,-599.5999999999999
710,5319,4293.727272727273,1025.272727272727
78,2471,2180.8230088495575,290.1769911504425
433,4118,2954.96875,1163.03125
204,3606,4426.366666666667,-820.3666666666668
86,2028,2412.285714285714,-384.2857142857142
464,5918,6301.985119047619,-383.98511904761926
33,1550,1865.2340425531916,-315.23404255319156
587,6299,6393.933333333333,-94.9333333333334
118,4595,4359.875,235.125
382,3376,3111.633333333333,264.3666666666668
430,4916,4593.3725490196075,322.6274509803925
254,4713,4351.264150943396,361.7358490566039
483,6304,6340.694029850746,-36.69402985074612
199,4541,4521.195020746888,19.804979253111924
220,4602,4415.0,187.0
299,2659,4219.805555555556,-1560.8055555555557
39,1605,1865.2340425531916,-260.23404255319156
231,5191,4384.224719101124,806.7752808988762
363,2999,2180.8230088495575,818.1769911504425
346,3523,3111.633333333333,411.3666666666668
259,4511,4261.04255319149,249.9574468085102
54,1807,1633.1333333333334,173.86666666666656
65,1872,1845.1666666666667,26.833333333333258
447,3372,4939.9672131147545,-1567.9672131147545
192,4258,4426.366666666667,-168.3666666666668
375,2177,2469.6666666666665,-292.6666666666665
101,2034,4261.04255319149,-2227.04255319149
10,1263,1541.4615384615386,-278.46153846153857
636,8555,6764.446215139442,1790.5537848605582
356,2209,1728.4626865671642,480.53731343283584
716,5557,4729.206666666667,827.7933333333331
174,4991,4384.224719101124,606.7752808988762
649,7282,5928.85,1353.1499999999996
196,5923,4415.0,1508.0
275,3570,3844.823529411765,-274.82352941176487
512,6043,6171.4796747967475,-128.47967479674753
436,5847,6535.234177215189,-688.2341772151894
235,5130,4384.224719101124,745.7752808988762
522,7494,6613.29104477612,880.7089552238804
434,4911,4188.558823529412,722.4411764705883
109,3944,4359.875,-415.875
679,6852,4956.782945736434,1895.2170542635658
688,5634,4469.517073170732,1164.4829268292679
696,5260,4290.553191489362,969.4468085106382
593,7148,6519.702265372168,628.2977346278321
429,3956,2954.96875,1001.03125
457,6772,6495.683823529412,276.3161764705883
215,4576,4351.264150943396,224.7358490566039
208,4390,4426.366666666667,-36.36666666666679
720,1749,2734.75,-985.75
213,4845,4384.224719101124,460.7752808988762
155,4906,4415.0,491.0
227,4725,4384.224719101124,340.7752808988762
405,3831,3111.633333333333,719.3666666666668
350,2739,2675.731343283582,63.26865671641781
63,2077,2231.6162790697676,-154.61627906976764
623,7333,6762.331034482759,570.6689655172413
77,3117,4261.04255319149,-1144.0425531914898
49,1635,2778.809523809524,-1143.8095238095239
479,6196,6495.683823529412,-299.6838235294117
682,5495,4278.416149068323,1216.5838509316773
324,2765,2846.948717948718,-81.94871794871779
97,1471,1728.4626865671642,-257.46268656716416
568,6966,6340.694029850746,625.3059701492539
409,3922,3514.056,407.94399999999996
23,1416,1716.7368421052631,-300.7368421052631
223,4905,4415.0,490.0
351,2431,2778.695652173913,-347.695652173913
448,4996,3741.16,1254.8400000000001
511,6591,6283.054662379422,307.94533762057836
432,4569,4729.206666666667,-160.20666666666693
368,2368,3091.2028985507245,-723.2028985507245
244,4727,4365.3,361.6999999999998
265,2395,3676.1071428571427,-1281.1071428571427
300,3747,2778.809523809524,968.1904761904761
579,7175,6519.702265372168,655.2977346278321
120,3351,4069.5520833333335,-718.5520833333335
30,1501,1716.7368421052631,-215.73684210526312
604,7040,6519.702265372168,520.2977346278321
677,5992,4452.2027027027025,1539.7972972972975
424,4990,6519.702265372168,-1529.7022653721679
334,3727,3111.633333333333,615.3666666666668
398,4151,3574.0967741935483,576.9032258064517
165,5180,4384.224719101124,795.7752808988762
349,3577,3252.840909090909,324.159090909091
632,7538,6646.056701030928,891.9432989690722
542,7335,6566.319230769231,768.6807692307693
158,4401,4415.0,-14.0
84,2496,2412.285714285714,83.71428571428578
79,2077,3601.975,-1524.975
528,7421,6535.234177215189,885.7658227848106
286,3644,4261.04255319149,-617.0425531914898
326,2566,3715.0,-1149.0
726,3095,3091.2028985507245,3.7971014492754875
31,1360,1865.2340425531916,-505.23404255319156
422,4322,4192.310924369748,129.68907563025186
248,2710,2846.948717948718,-136.94871794871779
717,5267,4314.392156862745,952.6078431372553
417,4773,4593.3725490196075,179.6274509803925
467,6398,6128.046875,269.953125
571,6861,6493.397129186603,367.6028708133972
55,1461,1805.4444444444443,-344.44444444444434
594,7865,6568.2793103448275,1296.7206896551725
487,6421,5846.457489878542,574.5425101214578
361,2302,2115.936170212766,186.06382978723423
599,7765,6566.319230769231,1198.6807692307693
449,5558,5257.2464788732395,300.75352112676046
76,3239,4261.04255319149,-1022.0425531914898
2,1349,1716.7368421052631,-367.7368421052631
470,6370,6283.054662379422,86.94533762057836
497,6118,6568.2793103448275,-450.27931034482754
535,6211,6535.234177215189,-324.23417721518945
60,2134,2180.8230088495575,-46.82300884955748
725,2114,2737.2272727272725,-623.2272727272725
431,5382,6535.234177215189,-1153.2341772151894
367,2236,2737.2272727272725,-501.2272727272725
481,6233,6301.985119047619,-68.98511904761926
589,6883,6340.694029850746,542.3059701492539
674,5686,4194.223684210527,1491.7763157894733
164,4891,4384.224719101124,506.7752808988762
234,5895,4415.0,1480.0
